Model,Accuracy,Precision,Recall,F1,ROC-AUC,TN,FP,FN,TP,CV_F1_mean,CV_F1_std,CV_AUC_mean,CV_AUC_std,Train_time_s
Random Forest,0.9778,0.9769,0.8895,0.9311,0.999,932,4,21,169,0.9517,0.0091,0.9759,0.0091,4.86
XGBoost,0.968,0.8438,0.9947,0.913,0.994,901,35,1,189,0.9477,0.0058,0.9685,0.0074,4.06
Gradient Boosting,0.9574,0.9383,0.8,0.8636,0.9923,926,10,38,152,0.9433,0.0075,0.9621,0.0106,9.22
SVM,0.8917,0.6206,0.9211,0.7415,0.9537,829,107,15,175,0.8997,0.003,0.9402,0.0088,9.04
KNN,0.8854,0.8427,0.3947,0.5376,0.9161,922,14,115,75,0.8543,0.0058,0.8996,0.0101,0.88
Decision Tree,0.8641,0.564,0.8579,0.6806,0.8958,810,126,27,163,0.8806,0.0061,0.8747,0.0116,2.3
Logistic Regression,0.7691,0.4084,0.8211,0.5455,0.8584,710,226,34,156,0.8102,0.0098,0.8711,0.0127,2.31
LDA,0.8694,0.6903,0.4105,0.5149,0.8562,901,35,112,78,0.8641,0.0103,0.8653,0.0163,1.04
